what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.7.0_15",1377516567835
java.vm.info,sysinfo,,,"mixed mode, sharing",1377516567835
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1377516567835
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1377516567835
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1377516567835
java.vm.specification.version,sysinfo,,,"1.7",1377516567835
java.vm.vendor,sysinfo,,,"Oracle Corporation",1377516567835
java.vm.version,sysinfo,,,"23.7-b01",1377516567835
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1377516567866
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1377516569210
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1377516569210
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1377516569444
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1377516570444
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1377516570460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377516572616
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1377516573803
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1377516573803
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1377516573819
